Longitude,Latitude,datetime,UHI Index,geometry,distancia_Bronx,distancia_Manhattan,air_temp,HR,wind_speed,wind_dir,solar_flux,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B11,B12,LST,NDVI,NDBI,NDWI,SWIR_Diff
-73.90916667,40.81310667,2021-07-24 15:53:00,1.030288903,POINT (-73.90916667 40.81310667),0.522538055481307,0.34872342226825204,27.007879440370626,47.43595981345688,3.080150699536718,173.56738427729917,515.5264442364908,841.5,841.5,1053.0,1155.0,1206.0,1482.0,1660.0,1721.0,1832.0,1709.0,2172.0,1792.0,42.34,0.1968,0.1159,-0.2408,380.0
-73.90918667,40.813045,2021-07-24 15:53:00,1.030288903,POINT (-73.90918667 40.813045),0.5220377133052365,0.34930755352594445,27.00757613304975,47.43585871101658,3.080529833687813,173.5859618507028,515.442023698847,841.5,841.5,1053.0,1155.0,1206.0,1482.0,1660.0,1721.0,1832.0,1709.0,2172.0,1792.0,42.34,0.1968,0.1159,-0.2408,380.0
-73.909215,40.81297833,2021-07-24 15:53:00,1.023797758,POINT (-73.909215 40.81297833),0.5214889150421437,0.34997522361013367,27.00723462976611,47.43574487658871,3.0809567127923625,173.60687892682577,515.3469719515673,841.5,841.5,646.0,823.0,777.0,1130.0,1883.0,2118.0,2240.0,2252.0,2172.0,1548.0,41.44,0.4404,0.012596,-0.5327,624.0
-73.90924167,40.81290833,2021-07-24 15:53:00,1.023797758,POINT (-73.90924167 40.81290833),0.5209163156539282,0.35065940880654367,27.00688251002937,47.43562750334313,3.0813968624632895,173.62844626070114,515.2489652915076,841.5,841.5,625.0,766.0,741.5,1130.0,1883.0,2118.0,2200.0,2252.0,2172.0,1548.0,41.44,0.4688,0.012596,-0.544,624.0
-73.90925667,40.812845,2021-07-24 15:53:00,1.021634043,POINT (-73.90925667 40.812845),0.5204090170483313,0.3512287136398391,27.006582738893123,47.43552757963105,3.0817715763836007,173.64680724279643,515.1655289919182,841.5,841.5,659.5,763.0,708.5,1078.0,1783.0,2042.0,2160.0,2186.0,2172.0,1618.0,41.16,0.456,0.03084,-0.511,554.0
-73.90928,40.81277667,2021-07-24 15:53:00,1.021634043,POINT (-73.90928 40.81277667),0.5198532571881427,0.3518815337302842,27.006244814420466,47.435414938140156,3.082193981974418,173.66750511674647,515.0714733470295,841.5,841.5,659.5,763.0,708.5,1078.0,1783.0,2042.0,2160.0,2186.0,2172.0,1618.0,41.16,0.456,0.03084,-0.511,554.0
-73.90931167,40.81271,2021-07-24 15:53:00,1.015142899,POINT (-73.90931167 40.81271),0.5193005070884553,0.3525666931416792,27.005897030346667,47.43529901011556,3.0826287120666658,173.68880689126664,514.9746734464891,841.5,841.5,551.5,768.5,659.0,1078.0,1783.0,2042.0,2472.0,2186.0,2172.0,1618.0,41.16,0.4534,0.03084,-0.574,554.0
-73.90934,40.81264333,2021-07-24 15:53:00,1.015142899,POINT (-73.90934 40.81264333),0.5187516804460683,0.35323356999063116,27.005556213811428,47.435185404603814,3.0830547327357167,173.7096819040501,514.8798128441805,1177.0,1177.0,656.0,807.0,814.0,1430.0,1970.0,2276.0,2524.0,2346.0,2220.0,1902.0,41.16,0.4763,-0.01246,-0.5527,318.0
-73.90936333,40.81256167,2021-07-24 15:53:00,1.012979184,POINT (-73.90936333 40.81256167),0.5180928539802028,0.35398834918830535,27.005162171833266,47.43505405727776,3.0835472852084203,173.7338169752126,514.770137826925,1177.0,1177.0,675.0,816.0,845.0,1430.0,1970.0,2276.0,2344.0,2346.0,2220.0,1902.0,41.03,0.4722,-0.01246,-0.5425,318.0
-73.90938333,40.812485,2021-07-24 15:53:00,1.012979184,POINT (-73.90938333 40.812485),0.5174765314765268,0.3546863583978712,27.004796266835548,47.43493208894519,3.084004666455564,173.75622865632263,514.6682942692279,1177.0,1177.0,688.0,866.5,802.0,1426.0,1882.0,2001.0,2320.0,2088.0,2220.0,1994.0,41.03,0.3955,0.0519,-0.4885,226.0
-73.90939333,40.81240333,2021-07-24 15:53:00,1.010815469,POINT (-73.90939333 40.81240333),0.5168333379600749,0.3553679932444852,27.00442974499732,47.434809914999114,3.0844628187533503,173.77867811891414,514.5662790242541,1177.0,1177.0,688.0,866.5,802.0,1426.0,1882.0,2001.0,2320.0,2088.0,2220.0,1994.0,41.03,0.3955,0.0519,-0.4885,226.0
-73.90942,40.81233,2021-07-24 15:53:00,1.010815469,POINT (-73.90942 40.81233),0.5162349779609147,0.3560760928123551,27.004064707790057,47.434688235930025,3.0849191152624313,173.8010366478591,514.4646770015653,1177.0,1177.0,741.5,892.5,845.0,1426.0,1882.0,2001.0,2168.0,2088.0,2220.0,1994.0,41.03,0.3828,0.0519,-0.4595,226.0
