datetime,air_temp,HR,wind_speed,wind_dir,solar_flux,Latitude,Longitude,Altitude,Place
2021-07-24 06:00:00,19.3,88.2,0.8,335,12,40.87248,-73.89352,57.5,Bronx
2021-07-24 06:05:00,19.4,87.9,0.8,329,18,40.87248,-73.89352,57.5,Bronx
2021-07-24 06:10:00,19.3,87.6,0.7,321,25,40.87248,-73.89352,57.5,Bronx
2021-07-24 06:15:00,19.4,87.4,0.5,307,33,40.87248,-73.89352,57.5,Bronx
2021-07-24 06:20:00,19.4,87.0,0.2,301,42,40.87248,-73.89352,57.5,Bronx
2021-07-24 06:25:00,19.4,85.1,0.3,64,53,40.87248,-73.89352,57.5,Bronx
2021-07-24 06:30:00,19.4,84.3,0.2,56,65,40.87248,-73.89352,57.5,Bronx
2021-07-24 06:35:00,19.4,83.7,0.4,56,78,40.87248,-73.89352,57.5,Bronx
2021-07-24 06:40:00,19.4,83.2,0.8,40,91,40.87248,-73.89352,57.5,Bronx
2021-07-24 06:45:00,19.4,82.5,1.1,39,103,40.87248,-73.89352,57.5,Bronx
2021-07-24 06:50:00,19.4,81.1,1.7,38,115,40.87248,-73.89352,57.5,Bronx
2021-07-24 06:55:00,19.5,80.9,1.9,36,127,40.87248,-73.89352,57.5,Bronx
2021-07-24 07:00:00,19.6,80.5,1.1,47,140,40.87248,-73.89352,57.5,Bronx
2021-07-24 07:05:00,19.7,78.2,1.7,38,153,40.87248,-73.89352,57.5,Bronx
2021-07-24 07:10:00,19.8,77.0,1.1,25,167,40.87248,-73.89352,57.5,Bronx
2021-07-24 07:15:00,19.9,75.1,1.2,35,181,40.87248,-73.89352,57.5,Bronx
2021-07-24 07:20:00,20.0,74.4,1.8,17,195,40.87248,-73.89352,57.5,Bronx
2021-07-24 07:25:00,20.0,72.7,2.3,24,209,40.87248,-73.89352,57.5,Bronx
2021-07-24 07:30:00,20.1,72.3,2.1,17,225,40.87248,-73.89352,57.5,Bronx
2021-07-24 07:35:00,20.2,71.2,2.3,11,241,40.87248,-73.89352,57.5,Bronx
2021-07-24 07:40:00,20.3,71.0,2.3,12,254,40.87248,-73.89352,57.5,Bronx
2021-07-24 07:45:00,20.3,70.3,2.1,9,267,40.87248,-73.89352,57.5,Bronx
2021-07-24 07:50:00,20.5,70.6,1.4,15,279,40.87248,-73.89352,57.5,Bronx
2021-07-24 07:55:00,20.7,69.4,1.6,12,293,40.87248,-73.89352,57.5,Bronx
2021-07-24 08:00:00,20.9,68.9,1.7,12,309,40.87248,-73.89352,57.5,Bronx
2021-07-24 08:05:00,21.0,68.1,1.6,10,325,40.87248,-73.89352,57.5,Bronx
2021-07-24 08:10:00,21.1,67.5,2.0,6,339,40.87248,-73.89352,57.5,Bronx
2021-07-24 08:15:00,21.4,66.7,1.3,3,354,40.87248,-73.89352,57.5,Bronx
2021-07-24 08:20:00,21.5,65.8,1.8,1,370,40.87248,-73.89352,57.5,Bronx
2021-07-24 08:25:00,21.7,64.6,1.0,18,385,40.87248,-73.89352,57.5,Bronx
2021-07-24 08:30:00,21.8,64.1,1.6,358,401,40.87248,-73.89352,57.5,Bronx
2021-07-24 08:35:00,21.8,65.0,1.6,15,416,40.87248,-73.89352,57.5,Bronx
2021-07-24 08:40:00,22.0,64.6,1.9,9,429,40.87248,-73.89352,57.5,Bronx
2021-07-24 08:45:00,22.0,64.9,2.0,10,444,40.87248,-73.89352,57.5,Bronx
2021-07-24 08:50:00,22.2,64.3,1.9,10,460,40.87248,-73.89352,57.5,Bronx
2021-07-24 08:55:00,22.6,62.9,1.5,358,475,40.87248,-73.89352,57.5,Bronx
2021-07-24 09:00:00,22.8,62.1,1.5,353,489,40.87248,-73.89352,57.5,Bronx
2021-07-24 09:05:00,22.9,61.6,1.7,358,504,40.87248,-73.89352,57.5,Bronx
2021-07-24 09:10:00,22.8,60.7,2.3,4,517,40.87248,-73.89352,57.5,Bronx
