datetime,air_temp,HR,wind_speed,wind_dir,solar_flux,Latitude,Longitude,Altitude,Place
2021-07-24 06:00:00,21.3,66.5,0.9,348,10,40.76754,-73.96449,94.8,Manhattan
2021-07-24 06:05:00,21.4,66.1,1.1,345,12,40.76754,-73.96449,94.8,Manhattan
2021-07-24 06:10:00,21.4,66.5,1.3,4,14,40.76754,-73.96449,94.8,Manhattan
2021-07-24 06:15:00,21.5,65.4,1.3,5,17,40.76754,-73.96449,94.8,Manhattan
2021-07-24 06:20:00,21.5,65.0,1.5,346,19,40.76754,-73.96449,94.8,Manhattan
2021-07-24 06:25:00,21.6,66.4,1.4,19,34,40.76754,-73.96449,94.8,Manhattan
2021-07-24 06:30:00,21.7,65.6,1.3,41,61,40.76754,-73.96449,94.8,Manhattan
2021-07-24 06:35:00,21.8,64.8,1.1,22,73,40.76754,-73.96449,94.8,Manhattan
2021-07-24 06:40:00,21.9,62.7,1.2,11,84,40.76754,-73.96449,94.8,Manhattan
2021-07-24 06:45:00,21.9,62.4,1.1,10,94,40.76754,-73.96449,94.8,Manhattan
2021-07-24 06:50:00,22.1,61.5,1.3,43,106,40.76754,-73.96449,94.8,Manhattan
2021-07-24 06:55:00,22.2,60.1,1.0,43,118,40.76754,-73.96449,94.8,Manhattan
2021-07-24 07:00:00,22.1,60.4,1.2,2,130,40.76754,-73.96449,94.8,Manhattan
2021-07-24 07:05:00,22.3,59.3,1.0,50,143,40.76754,-73.96449,94.8,Manhattan
2021-07-24 07:10:00,22.3,59.1,2.0,38,156,40.76754,-73.96449,94.8,Manhattan
2021-07-24 07:15:00,22.4,58.1,2.0,35,171,40.76754,-73.96449,94.8,Manhattan
2021-07-24 07:20:00,22.6,57.8,2.6,43,183,40.76754,-73.96449,94.8,Manhattan
2021-07-24 07:25:00,22.4,57.8,3.5,34,196,40.76754,-73.96449,94.8,Manhattan
2021-07-24 07:30:00,22.4,58.7,2.1,23,207,40.76754,-73.96449,94.8,Manhattan
2021-07-24 07:35:00,22.5,59.1,1.5,31,218,40.76754,-73.96449,94.8,Manhattan
2021-07-24 07:40:00,22.7,58.6,0.7,42,230,40.76754,-73.96449,94.8,Manhattan
2021-07-24 07:45:00,22.8,56.7,0.8,57,243,40.76754,-73.96449,94.8,Manhattan
2021-07-24 07:50:00,22.7,57.9,1.2,17,256,40.76754,-73.96449,94.8,Manhattan
2021-07-24 07:55:00,22.8,58.5,1.6,37,269,40.76754,-73.96449,94.8,Manhattan
2021-07-24 08:00:00,22.9,58.8,1.5,28,282,40.76754,-73.96449,94.8,Manhattan
2021-07-24 08:05:00,23.1,57.8,1.3,50,297,40.76754,-73.96449,94.8,Manhattan
2021-07-24 08:10:00,23.1,56.7,1.7,43,311,40.76754,-73.96449,94.8,Manhattan
2021-07-24 08:15:00,23.0,56.0,2.4,55,326,40.76754,-73.96449,94.8,Manhattan
2021-07-24 08:20:00,23.0,56.0,2.3,53,339,40.76754,-73.96449,94.8,Manhattan
2021-07-24 08:25:00,23.2,54.6,2.5,41,353,40.76754,-73.96449,94.8,Manhattan
2021-07-24 08:30:00,23.3,54.9,2.1,30,366,40.76754,-73.96449,94.8,Manhattan
2021-07-24 08:35:00,23.6,53.3,1.4,50,379,40.76754,-73.96449,94.8,Manhattan
2021-07-24 08:40:00,24.0,52.4,0.9,69,392,40.76754,-73.96449,94.8,Manhattan
2021-07-24 08:45:00,24.1,51.6,0.8,71,405,40.76754,-73.96449,94.8,Manhattan
2021-07-24 08:50:00,24.1,51.3,0.8,77,419,40.76754,-73.96449,94.8,Manhattan
2021-07-24 08:55:00,23.9,51.5,0.7,139,432,40.76754,-73.96449,94.8,Manhattan
2021-07-24 09:00:00,24.4,49.9,0.6,70,445,40.76754,-73.96449,94.8,Manhattan
2021-07-24 09:05:00,24.3,49.4,1.0,51,458,40.76754,-73.96449,94.8,Manhattan
2021-07-24 09:10:00,24.3,49.9,1.6,55,470,40.76754,-73.96449,94.8,Manhattan
2021-07-24 09:15:00,24.5,49.7,1.2,52,483,40.76754,-73.96449,94.8,Manhattan
2021-07-24 09:20:00,24.2,49.9,1.7,72,494,40.76754,-73.96449,94.8,Manhattan
2021-07-24 09:25:00,24.0,52.4,1.7,65,505,40.76754,-73.96449,94.8,Manhattan
2021-07-24 09:30:00,24.2,51.5,1.5,77,518,40.76754,-73.96449,94.8,Manhattan
2021-07-24 09:35:00,24.5,51.1,1.4,121,529,40.76754,-73.96449,94.8,Manhattan
2021-07-24 09:40:00,24.7,51.0,1.1,95,540,40.76754,-73.96449,94.8,Manhattan
2021-07-24 09:45:00,24.4,51.4,1.5,116,550,40.76754,-73.96449,94.8,Manhattan
2021-07-24 09:50:00,24.3,51.2,1.7,104,561,40.76754,-73.96449,94.8,Manhattan
2021-07-24 09:55:00,24.5,51.0,1.8,85,573,40.76754,-73.96449,94.8,Manhattan
2021-07-24 10:00:00,24.6,50.3,1.5,90,583,40.76754,-73.96449,94.8,Manhattan
2021-07-24 10:05:00,24.4,50.7,1.7,102,595,40.76754,-73.96449,94.8,Manhattan
2021-07-24 10:10:00,25.3,49.0,0.9,88,606,40.76754,-73.96449,94.8,Manhattan
2021-07-24 10:15:00,24.8,49.6,2.3,95,614,40.76754,-73.96449,94.8,Manhattan
2021-07-24 10:20:00,24.5,51.5,1.6,99,623,40.76754,-73.96449,94.8,Manhattan
2021-07-24 10:25:00,24.8,50.0,0.9,91,633,40.76754,-73.96449,94.8,Manhattan
2021-07-24 10:30:00,25.4,48.5,1.0,93,644,40.76754,-73.96449,94.8,Manhattan
2021-07-24 10:35:00,24.6,47.1,2.4,100,654,40.76754,-73.96449,94.8,Manhattan
2021-07-24 10:40:00,25.2,46.8,1.4,113,669,40.76754,-73.96449,94.8,Manhattan
2021-07-24 10:45:00,24.8,47.4,2.2,53,679,40.76754,-73.96449,94.8,Manhattan
2021-07-24 10:50:00,24.9,48.0,2.3,87,684,40.76754,-73.96449,94.8,Manhattan
2021-07-24 10:55:00,25.3,48.4,1.6,94,692,40.76754,-73.96449,94.8,Manhattan
2021-07-24 11:00:00,25.2,48.5,2.3,69,704,40.76754,-73.96449,94.8,Manhattan
2021-07-24 11:05:00,24.8,49.3,2.5,62,706,40.76754,-73.96449,94.8,Manhattan
2021-07-24 11:10:00,25.1,49.6,1.7,61,698,40.76754,-73.96449,94.8,Manhattan
2021-07-24 11:15:00,25.3,49.2,2.2,74,721,40.76754,-73.96449,94.8,Manhattan
2021-07-24 11:20:00,25.5,49.0,1.8,84,730,40.76754,-73.96449,94.8,Manhattan
2021-07-24 11:25:00,25.0,49.1,1.7,31,737,40.76754,-73.96449,94.8,Manhattan
2021-07-24 11:30:00,25.3,49.7,1.1,355,746,40.76754,-73.96449,94.8,Manhattan
2021-07-24 11:35:00,25.4,48.6,1.1,16,755,40.76754,-73.96449,94.8,Manhattan
2021-07-24 11:40:00,25.3,48.0,1.0,328,765,40.76754,-73.96449,94.8,Manhattan
2021-07-24 11:45:00,26.1,45.9,1.5,261,778,40.76754,-73.96449,94.8,Manhattan
2021-07-24 11:50:00,26.3,44.3,0.8,272,771,40.76754,-73.96449,94.8,Manhattan
2021-07-24 11:55:00,26.5,44.5,0.8,109,798,40.76754,-73.96449,94.8,Manhattan
2021-07-24 12:00:00,26.3,44.1,1.3,305,802,40.76754,-73.96449,94.8,Manhattan
2021-07-24 12:05:00,26.2,44.1,1.1,288,815,40.76754,-73.96449,94.8,Manhattan
2021-07-24 12:10:00,26.6,43.8,0.7,243,813,40.76754,-73.96449,94.8,Manhattan
2021-07-24 12:15:00,26.2,44.4,2.3,349,804,40.76754,-73.96449,94.8,Manhattan
2021-07-24 12:20:00,25.9,46.0,1.9,326,811,40.76754,-73.96449,94.8,Manhattan
2021-07-24 12:25:00,26.5,44.9,0.8,338,807,40.76754,-73.96449,94.8,Manhattan
2021-07-24 12:30:00,26.5,42.9,1.8,339,832,40.76754,-73.96449,94.8,Manhattan
2021-07-24 12:35:00,26.4,43.5,1.5,334,840,40.76754,-73.96449,94.8,Manhattan
2021-07-24 12:40:00,26.7,45.2,2.8,17,596,40.76754,-73.96449,94.8,Manhattan
2021-07-24 12:45:00,26.3,46.0,2.9,31,638,40.76754,-73.96449,94.8,Manhattan
2021-07-24 12:50:00,26.2,46.7,3.0,51,759,40.76754,-73.96449,94.8,Manhattan
2021-07-24 12:55:00,26.3,46.2,2.6,47,757,40.76754,-73.96449,94.8,Manhattan
2021-07-24 13:00:00,26.7,44.8,1.9,338,763,40.76754,-73.96449,94.8,Manhattan
2021-07-24 13:05:00,26.5,45.4,2.2,318,805,40.76754,-73.96449,94.8,Manhattan
2021-07-24 13:10:00,26.3,44.9,1.8,347,839,40.76754,-73.96449,94.8,Manhattan
2021-07-24 13:15:00,27.6,42.3,0.7,277,837,40.76754,-73.96449,94.8,Manhattan
2021-07-24 13:20:00,27.4,40.2,1.9,28,834,40.76754,-73.96449,94.8,Manhattan
2021-07-24 13:25:00,27.1,39.2,2.9,50,828,40.76754,-73.96449,94.8,Manhattan
2021-07-24 13:30:00,27.6,40.3,1.6,110,546,40.76754,-73.96449,94.8,Manhattan
2021-07-24 13:35:00,27.4,42.2,0.9,133,195,40.76754,-73.96449,94.8,Manhattan
2021-07-24 13:40:00,27.4,42.3,1.3,184,347,40.76754,-73.96449,94.8,Manhattan
2021-07-24 13:45:00,27.2,41.8,0.8,44,808,40.76754,-73.96449,94.8,Manhattan
2021-07-24 13:50:00,27.8,40.1,0.9,160,679,40.76754,-73.96449,94.8,Manhattan
2021-07-24 13:55:00,27.8,39.7,1.3,136,298,40.76754,-73.96449,94.8,Manhattan
2021-07-24 14:00:00,27.9,39.8,0.7,162,626,40.76754,-73.96449,94.8,Manhattan
2021-07-24 14:05:00,27.5,39.9,1.9,106,273,40.76754,-73.96449,94.8,Manhattan
2021-07-24 14:10:00,27.6,40.4,1.3,134,187,40.76754,-73.96449,94.8,Manhattan
2021-07-24 14:15:00,27.5,39.9,1.9,153,207,40.76754,-73.96449,94.8,Manhattan
2021-07-24 14:20:00,27.4,41.9,2.3,145,294,40.76754,-73.96449,94.8,Manhattan
2021-07-24 14:25:00,27.5,43.0,1.5,145,369,40.76754,-73.96449,94.8,Manhattan
2021-07-24 14:30:00,27.3,43.5,1.2,93,242,40.76754,-73.96449,94.8,Manhattan
2021-07-24 14:35:00,27.5,44.6,1.3,163,246,40.76754,-73.96449,94.8,Manhattan
2021-07-24 14:40:00,27.2,45.2,1.8,146,464,40.76754,-73.96449,94.8,Manhattan
2021-07-24 14:45:00,26.8,47.0,3.1,147,300,40.76754,-73.96449,94.8,Manhattan
2021-07-24 14:50:00,27.0,48.0,2.3,161,204,40.76754,-73.96449,94.8,Manhattan
2021-07-24 14:55:00,26.5,49.8,4.1,148,158,40.76754,-73.96449,94.8,Manhattan
2021-07-24 15:00:00,26.1,51.1,4.1,139,140,40.76754,-73.96449,94.8,Manhattan
2021-07-24 15:05:00,26.3,51.1,2.5,161,128,40.76754,-73.96449,94.8,Manhattan
2021-07-24 15:10:00,26.3,50.9,3.0,158,219,40.76754,-73.96449,94.8,Manhattan
2021-07-24 15:15:00,26.6,50.5,3.1,154,584,40.76754,-73.96449,94.8,Manhattan
2021-07-24 15:20:00,26.7,49.7,2.0,132,448,40.76754,-73.96449,94.8,Manhattan
